472,173
597,295
722,356
847,298
972,396
1100,404
1220,309
1350,330
1470,408
1600,370
1720,365
1850,469
1970,472
2100,401
2220,454
2350,482
2470,486
2600,510
2720,527
2850,501
2970,520
3100,522
3220,566
3350,658
3470,684
3600,676
3720,614
3850,642
3970,726
4100,736
4220,775
4350,828
4470,851
4600,843
4720,848
4850,983
4970,959
5100,1060
5220,1010
5350,1020
5470,1190
5600,1190
5720,1250
5850,1230
5970,1360
6100,1400
6220,1500
6350,1550
6470,1630
6600,1700
6720,1780
6850,1850
6970,1880
7100,2020
7220,2020
7350,2110
7470,2040
7600,1900
7720,1790
7850,1630
7970,1350
8100,1110
8220,804
8350,579
8470,437
8600,281
8720,165
8850,96
8970,49
9100,26
9220,13
9350,6
9470,4
9600,1
